Signals,Read,Detected,PercentDetected,Percent1us
1,226,226,100,95.13
2,217,217,100,89.86
3,210,210,100,87.14
4,211,211,100,88.15
5,224,224,100,93.3
6,219,219,100,91.78
7,220,220,100,95.45
8,223,223,100,98.21
9,219,219,100,95.43
10,225,225,100,96.89
20,226,226,100,93.81
30,224,224,100,93.75
40,225,225,100,92.44
50,234,234,100,92.31
60,230,230,100,93.48
70,237,237,100,90.72
80,234,234,100,88.89
90,237,237,100,91.56
100,244,244,100,89.34
150,246,246,100,81.71
200,268,268,100,69.4
250,277,277,100,60.65
300,288,288,100,56.6
350,286,286,100,62.24
400,313,313,100,55.91
450,309,309,100,52.75
500,330,330,100,48.18
550,309,309,100,50.49
600,328,328,100,50.61
650,332,332,100,47.89
700,332,332,100,46.08
750,352,352,100,47.73
800,354,354,100,46.89
850,351,351,100,40.74
900,364,364,100,37.64
950,347,347,100,45.82
1000,367,367,100,42.51
1050,366,366,100,40.71
1100,352,352,100,44.89
1150,365,365,100,45.48
1200,375,375,100,42.13
1250,371,371,100,40.43
1300,382,382,100,38.48
1350,366,366,100,35.79
1400,374,374,100,39.57
1450,386,386,100,34.97
1500,379,379,100,41.42
