Signals,Pace,Changed,Detected,PercentDetected,Percent1us
100,100000.000000,29,29,100.00,75.86
100,90000.000000,33,33,100.00,84.85
100,80000.000000,35,35,100.00,82.86
100,70000.000000,41,41,100.00,73.17
100,60000.000000,37,37,100.00,83.78
100,50000.000000,58,58,100.00,79.31
100,40000.000000,64,64,100.00,79.69
100,30000.000000,83,83,100.00,79.52
100,20000.000000,109,109,100.00,83.49
100,10000.000000,173,173,100.00,79.77
500,100000.000000,34,34,100.00,88.24
500,90000.000000,33,33,100.00,63.64
500,80000.000000,40,40,100.00,72.50
500,70000.000000,49,49,100.00,81.63
500,60000.000000,57,57,100.00,80.70
500,50000.000000,65,65,100.00,75.38
500,40000.000000,88,88,100.00,73.86
500,30000.000000,111,111,100.00,68.47
500,20000.000000,142,142,100.00,62.68
500,10000.000000,251,251,100.00,52.99
1000,100000.000000,33,33,100.00,72.73
1000,90000.000000,35,35,100.00,85.71
1000,80000.000000,39,39,100.00,71.79
1000,70000.000000,43,43,100.00,81.40
1000,60000.000000,47,47,100.00,80.85
1000,50000.000000,66,66,100.00,71.21
1000,40000.000000,89,89,100.00,65.17
1000,30000.000000,115,115,100.00,61.74
1000,20000.000000,164,164,100.00,59.15
1000,10000.000000,262,262,100.00,45.04
10000,100000.000000,35,35,100.00,34.29
10000,90000.000000,39,39,100.00,30.77
10000,80000.000000,48,48,100.00,29.17
10000,70000.000000,55,55,100.00,21.82
10000,60000.000000,59,59,100.00,25.42
10000,50000.000000,82,82,100.00,30.49
10000,40000.000000,83,83,100.00,14.46
10000,30000.000000,110,110,100.00,15.45
10000,20000.000000,176,176,100.00,16.48
10000,10000.000000,305,305,100.00,16.07
100000,100000.000000,37,37,100.00,8.11
100000,90000.000000,47,47,100.00,2.13
100000,80000.000000,42,42,100.00,0.00
100000,70000.000000,51,51,100.00,1.96
100000,60000.000000,63,63,100.00,7.94
100000,50000.000000,69,69,100.00,2.90
100000,40000.000000,86,86,100.00,4.65
100000,30000.000000,114,114,100.00,4.39
100000,20000.000000,184,184,100.00,3.26
100000,10000.000000,295,295,100.00,2.71
1000000,100000.000000,36,36,100.00,0.00
1000000,90000.000000,44,44,100.00,0.00
1000000,80000.000000,40,40,100.00,0.00
1000000,70000.000000,48,48,100.00,0.00
1000000,60000.000000,65,65,100.00,1.54
1000000,50000.000000,69,69,100.00,0.00
1000000,40000.000000,95,95,100.00,0.00
1000000,30000.000000,111,111,100.00,0.90
1000000,20000.000000,164,164,100.00,0.00
1000000,10000.000000,315,315,100.00,0.00
