Pclass,Type,Fare,Survived
THREE,adult-male,'\'(-inf-15.65]\'',FALSE
ONE,female,'\'(15.65-inf)\'',TRUE
THREE,female,'\'(-inf-15.65]\'',TRUE
ONE,female,'\'(15.65-inf)\'',TRUE
THREE,adult-male,'\'(-inf-15.65]\'',FALSE
THREE,adult-male,'\'(-inf-15.65]\'',FALSE
ONE,adult-male,'\'(15.65-inf)\'',FALSE
THREE,child,'\'(-inf-15.65]\'',FALSE
THREE,female,'\'(-inf-15.65]\'',TRUE
TWO,child,'\'(-inf-15.65]\'',TRUE
THREE,child,'\'(-inf-15.65]\'',TRUE
ONE,female,'\'(15.65-inf)\'',TRUE
THREE,adult-male,'\'(-inf-15.65]\'',FALSE
THREE,adult-male,'\'(-inf-15.65]\'',FALSE
THREE,child,'\'(-inf-15.65]\'',FALSE
TWO,female,'\'(15.65-inf)\'',TRUE
THREE,child,'\'(-inf-15.65]\'',FALSE
TWO,adult-male,'\'(-inf-15.65]\'',TRUE
THREE,female,'\'(15.65-inf)\'',FALSE
THREE,female,'\'(-inf-15.65]\'',TRUE
TWO,adult-male,'\'(-inf-15.65]\'',FALSE
TWO,adult-male,'\'(-inf-15.65]\'',TRUE
THREE,child,'\'(-inf-15.65]\'',TRUE
ONE,adult-male,'\'(15.65-inf)\'',TRUE
THREE,child,'\'(-inf-15.65]\'',FALSE
THREE,female,'\'(-inf-15.65]\'',TRUE
THREE,adult-male,'\'(-inf-15.65]\'',FALSE
ONE,adult-male,'\'(15.65-inf)\'',FALSE
THREE,female,'\'(-inf-15.65]\'',TRUE
THREE,adult-male,'\'(-inf-15.65]\'',FALSE
ONE,adult-male,'\'(15.65-inf)\'',FALSE
ONE,female,'\'(15.65-inf)\'',TRUE
THREE,female,'\'(-inf-15.65]\'',TRUE
TWO,adult-male,'\'(-inf-15.65]\'',FALSE
ONE,adult-male,'\'(15.65-inf)\'',FALSE
ONE,adult-male,'\'(15.65-inf)\'',FALSE
THREE,adult-male,'\'(-inf-15.65]\'',TRUE
THREE,adult-male,'\'(-inf-15.65]\'',FALSE
THREE,female,'\'(-inf-15.65]\'',FALSE
THREE,child,'\'(-inf-15.65]\'',TRUE
THREE,female,'\'(-inf-15.65]\'',FALSE
TWO,female,'\'(-inf-15.65]\'',FALSE
THREE,adult-male,'\'(-inf-15.65]\'',FALSE
TWO,child,'\'(-inf-15.65]\'',TRUE
THREE,female,'\'(-inf-15.65]\'',TRUE
THREE,adult-male,'\'(-inf-15.65]\'',FALSE
