Pclass,Type,Fare,Embarked,Survived
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,female,'\'(15.65-inf)\'',C,TRUE
THREE,female,'\'(-inf-15.65]\'',S,TRUE
ONE,female,'\'(15.65-inf)\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',Q,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,FALSE
THREE,child,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',S,TRUE
TWO,child,'\'(-inf-15.65]\'',C,TRUE
THREE,child,'\'(-inf-15.65]\'',S,TRUE
ONE,female,'\'(15.65-inf)\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,child,'\'(-inf-15.65]\'',S,FALSE
TWO,female,'\'(15.65-inf)\'',S,TRUE
THREE,child,'\'(-inf-15.65]\'',Q,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,TRUE
THREE,female,'\'(15.65-inf)\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',C,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,TRUE
THREE,child,'\'(-inf-15.65]\'',Q,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,TRUE
THREE,child,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',C,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',Q,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,FALSE
ONE,female,'\'(15.65-inf)\'',C,TRUE
THREE,female,'\'(-inf-15.65]\'',Q,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',S,FALSE
THREE,child,'\'(-inf-15.65]\'',C,TRUE
THREE,female,'\'(-inf-15.65]\'',S,FALSE
TWO,female,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,FALSE
TWO,child,'\'(-inf-15.65]\'',C,TRUE
THREE,female,'\'(-inf-15.65]\'',Q,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',Q,FALSE
THREE,female,'\'(-inf-15.65]\'',Q,TRUE
THREE,adult-male,'\'(15.65-inf)\'',C,FALSE
THREE,female,'\'(-inf-15.65]\'',S,FALSE
THREE,child,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,female,'\'(15.65-inf)\'',C,TRUE
TWO,female,'\'(15.65-inf)\'',S,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,TRUE
TWO,female,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',C,FALSE
TWO,child,'\'(-inf-15.65]\'',S,TRUE
THREE,child,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,FALSE
ONE,female,'\'(15.65-inf)\'',,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,FALSE
THREE,child,'\'(-inf-15.65]\'',S,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,FALSE
THREE,child,'\'(-inf-15.65]\'',C,TRUE
TWO,female,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,newborn,'\'(-inf-15.65]\'',S,TRUE
THREE,female,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,TRUE
THREE,female,'\'(-inf-15.65]\'',Q,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,FALSE
TWO,female,'\'(-inf-15.65]\'',S,TRUE
THREE,female,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,female,'\'(15.65-inf)\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,TRUE
TWO,female,'\'(-inf-15.65]\'',S,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',Q,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,FALSE
THREE,child,'\'(-inf-15.65]\'',C,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',C,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',Q,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,FALSE
THREE,child,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',C,FALSE
TWO,female,'\'(-inf-15.65]\'',S,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,FALSE
THREE,child,'\'(-inf-15.65]\'',C,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,TRUE
THREE,female,'\'(-inf-15.65]\'',C,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',S,FALSE
TWO,female,'\'(15.65-inf)\'',S,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',C,FALSE
ONE,female,'\'(15.65-inf)\'',S,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,FALSE
THREE,female,'\'(-inf-15.65]\'',C,FALSE
THREE,female,'\'(-inf-15.65]\'',S,TRUE
THREE,female,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(15.65-inf)\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,TRUE
THREE,child,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,female,'\'(15.65-inf)\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,FALSE
THREE,female,'\'(-inf-15.65]\'',Q,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,child,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(15.65-inf)\'',S,FALSE
TWO,female,'\'(15.65-inf)\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,child,'\'(-inf-15.65]\'',S,FALSE
THREE,child,'\'(-inf-15.65]\'',S,TRUE
ONE,female,'\'(15.65-inf)\'',S,TRUE
THREE,female,'\'(-inf-15.65]\'',S,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,FALSE
THREE,child,'\'(-inf-15.65]\'',Q,FALSE
THREE,child,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,child,'\'(-inf-15.65]\'',S,FALSE
ONE,female,'\'(15.65-inf)\'',C,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',C,FALSE
THREE,child,'\'(-inf-15.65]\'',S,FALSE
TWO,child,'\'(15.65-inf)\'',S,TRUE
THREE,child,'\'(15.65-inf)\'',S,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',Q,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,female,'\'(-inf-15.65]\'',S,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',S,TRUE
TWO,child,'\'(-inf-15.65]\'',S,TRUE
ONE,female,'\'(15.65-inf)\'',C,TRUE
ONE,female,'\'(15.65-inf)\'',C,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',Q,TRUE
TWO,female,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,TRUE
THREE,child,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,TRUE
THREE,female,'\'(-inf-15.65]\'',Q,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,female,'\'(15.65-inf)\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',Q,FALSE
ONE,female,'\'(15.65-inf)\'',C,TRUE
THREE,female,'\'(-inf-15.65]\'',S,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,female,'\'(15.65-inf)\'',C,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',S,FALSE
ONE,female,'\'(15.65-inf)\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,child,'\'(-inf-15.65]\'',S,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(15.65-inf)\'',S,FALSE
TWO,child,'\'(-inf-15.65]\'',S,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',C,FALSE
THREE,female,'\'(-inf-15.65]\'',Q,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,FALSE
ONE,adult-male,'\'(15.65-inf)\'',Q,FALSE
THREE,female,'\'(-inf-15.65]\'',S,FALSE
TWO,female,'\'(-inf-15.65]\'',S,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',S,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',C,TRUE
ONE,female,'\'(15.65-inf)\'',C,TRUE
ONE,female,'\'(15.65-inf)\'',S,TRUE
ONE,female,'\'(15.65-inf)\'',C,TRUE
TWO,female,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,FALSE
THREE,child,'\'(-inf-15.65]\'',S,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,FALSE
ONE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',Q,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,TRUE
ONE,female,'\'(15.65-inf)\'',S,TRUE
ONE,female,'\'(15.65-inf)\'',S,TRUE
ONE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,TRUE
TWO,female,'\'(-inf-15.65]\'',S,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,FALSE
THREE,female,'\'(-inf-15.65]\'',Q,TRUE
ONE,female,'\'(15.65-inf)\'',S,TRUE
THREE,female,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,child,'\'(-inf-15.65]\'',Q,FALSE
THREE,female,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,TRUE
THREE,female,'\'(-inf-15.65]\'',Q,TRUE
ONE,female,'\'(15.65-inf)\'',S,TRUE
ONE,female,'\'(15.65-inf)\'',C,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',C,FALSE
THREE,female,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,FALSE
ONE,child,'\'(15.65-inf)\'',S,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,TRUE
ONE,female,'\'(15.65-inf)\'',C,TRUE
THREE,female,'\'(-inf-15.65]\'',Q,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,female,'\'(-inf-15.65]\'',Q,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,newborn,'\'(15.65-inf)\'',S,TRUE
ONE,female,'\'(15.65-inf)\'',C,TRUE
ONE,female,'\'(15.65-inf)\'',C,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',C,FALSE
ONE,female,'\'(15.65-inf)\'',C,TRUE
ONE,female,'\'(15.65-inf)\'',C,TRUE
ONE,female,'\'(15.65-inf)\'',C,TRUE
TWO,female,'\'(15.65-inf)\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',S,TRUE
TWO,female,'\'(-inf-15.65]\'',S,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,female,'\'(15.65-inf)\'',S,TRUE
ONE,female,'\'(15.65-inf)\'',C,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,female,'\'(-inf-15.65]\'',Q,TRUE
TWO,female,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,female,'\'(15.65-inf)\'',C,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,female,'\'(-inf-15.65]\'',S,TRUE
THREE,female,'\'(-inf-15.65]\'',S,TRUE
ONE,female,'\'(15.65-inf)\'',C,TRUE
THREE,female,'\'(-inf-15.65]\'',Q,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,female,'\'(15.65-inf)\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,FALSE
ONE,female,'\'(15.65-inf)\'',C,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,FALSE
TWO,child,'\'(-inf-15.65]\'',S,TRUE
ONE,female,'\'(15.65-inf)\'',S,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,female,'\'(-inf-15.65]\'',S,TRUE
TWO,female,'\'(-inf-15.65]\'',S,TRUE
THREE,female,'\'(15.65-inf)\'',S,TRUE
THREE,child,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,adult-male,'\'(15.65-inf)\'',S,FALSE
THREE,child,'\'(-inf-15.65]\'',C,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,female,'\'(15.65-inf)\'',S,TRUE
TWO,female,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',Q,TRUE
THREE,female,'\'(-inf-15.65]\'',Q,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(15.65-inf)\'',C,FALSE
THREE,female,'\'(-inf-15.65]\'',C,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',Q,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,female,'\'(15.65-inf)\'',C,TRUE
THREE,female,'\'(-inf-15.65]\'',C,TRUE
THREE,female,'\'(-inf-15.65]\'',Q,TRUE
ONE,female,'\'(15.65-inf)\'',C,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,adult-male,'\'(15.65-inf)\'',C,FALSE
THREE,child,'\'(-inf-15.65]\'',S,FALSE
ONE,female,'\'(15.65-inf)\'',C,TRUE
THREE,female,'\'(-inf-15.65]\'',S,TRUE
ONE,adult-male,'\'(15.65-inf)\'',C,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',C,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,female,'\'(15.65-inf)\'',C,TRUE
THREE,child,'\'(-inf-15.65]\'',C,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,female,'\'(15.65-inf)\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,child,'\'(-inf-15.65]\'',S,FALSE
TWO,female,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',Q,FALSE
TWO,female,'\'(-inf-15.65]\'',C,TRUE
ONE,adult-male,'\'(15.65-inf)\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
ONE,female,'\'(15.65-inf)\'',C,TRUE
THREE,female,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,female,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,'\'(15.65-inf)\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
TWO,child,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,female,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,'\'(-inf-15.65]\'',Q,FALSE
ONE,female,'\'(15.65-inf)\'',Q,TRUE
TWO,adult-male,'\'(-inf-15.65]\'',S,FALSE
