Pclass,Type,SibSp,Fare,Embarked,Survived
THREE,adult-male,1,'\'(-inf-15.65]\'',S,FALSE
ONE,female,1,'\'(15.65-inf)\'',C,TRUE
THREE,female,0,'\'(-inf-15.65]\'',S,TRUE
ONE,female,1,'\'(15.65-inf)\'',S,TRUE
THREE,adult-male,0,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,0,'\'(-inf-15.65]\'',Q,FALSE
ONE,adult-male,0,'\'(15.65-inf)\'',S,FALSE
THREE,child,3,'\'(-inf-15.65]\'',S,FALSE
THREE,female,0,'\'(-inf-15.65]\'',S,TRUE
TWO,child,1,'\'(-inf-15.65]\'',C,TRUE
THREE,child,1,'\'(-inf-15.65]\'',S,TRUE
ONE,female,0,'\'(15.65-inf)\'',S,TRUE
THREE,adult-male,0,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,1,'\'(-inf-15.65]\'',S,FALSE
THREE,child,0,'\'(-inf-15.65]\'',S,FALSE
TWO,female,0,'\'(15.65-inf)\'',S,TRUE
THREE,child,4,'\'(-inf-15.65]\'',Q,FALSE
TWO,adult-male,0,'\'(-inf-15.65]\'',S,TRUE
THREE,female,1,'\'(15.65-inf)\'',S,FALSE
THREE,female,0,'\'(-inf-15.65]\'',C,TRUE
TWO,adult-male,0,'\'(-inf-15.65]\'',S,FALSE
TWO,adult-male,0,'\'(-inf-15.65]\'',S,TRUE
THREE,child,0,'\'(-inf-15.65]\'',Q,TRUE
ONE,adult-male,0,'\'(15.65-inf)\'',S,TRUE
THREE,child,3,'\'(-inf-15.65]\'',S,FALSE
THREE,female,1,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,0,'\'(-inf-15.65]\'',C,FALSE
ONE,adult-male,3,'\'(15.65-inf)\'',S,FALSE
THREE,female,0,'\'(-inf-15.65]\'',Q,TRUE
THREE,adult-male,0,'\'(-inf-15.65]\'',S,FALSE
ONE,adult-male,0,'\'(15.65-inf)\'',C,FALSE
ONE,female,1,'\'(15.65-inf)\'',C,TRUE
THREE,female,0,'\'(-inf-15.65]\'',Q,TRUE
TWO,adult-male,0,'\'(-inf-15.65]\'',S,FALSE
ONE,adult-male,1,'\'(15.65-inf)\'',C,FALSE
ONE,adult-male,1,'\'(15.65-inf)\'',S,FALSE
THREE,adult-male,0,'\'(-inf-15.65]\'',C,TRUE
THREE,adult-male,0,'\'(-inf-15.65]\'',S,FALSE
THREE,female,2,'\'(-inf-15.65]\'',S,FALSE
THREE,child,1,'\'(-inf-15.65]\'',C,TRUE
THREE,female,1,'\'(-inf-15.65]\'',S,FALSE
TWO,female,1,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,0,'\'(-inf-15.65]\'',C,FALSE
TWO,child,1,'\'(-inf-15.65]\'',C,TRUE
THREE,female,0,'\'(-inf-15.65]\'',Q,TRUE
THREE,adult-male,0,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,1,'\'(-inf-15.65]\'',Q,FALSE
THREE,female,0,'\'(-inf-15.65]\'',Q,TRUE
THREE,adult-male,2,'\'(15.65-inf)\'',C,FALSE
THREE,female,1,'\'(-inf-15.65]\'',S,FALSE
THREE,child,4,'\'(-inf-15.65]\'',S,FALSE
THREE,adult-male,0,'\'(-inf-15.65]\'',S,FALSE
ONE,female,1,'\'(15.65-inf)\'',C,TRUE
TWO,female,1,'\'(15.65-inf)\'',S,TRUE
ONE,adult-male,0,'\'(15.65-inf)\'',C,FALSE
ONE,adult-male,0,'\'(15.65-inf)\'',S,TRUE
TWO,female,0,'\'(-inf-15.65]\'',S,TRUE
THREE,adult-male,0,'\'(-inf-15.65]\'',C,FALSE
TWO,child,1,'\'(-inf-15.65]\'',S,TRUE
THREE,child,5,'\'(-inf-15.65]\'',S,FALSE
