Pclass,Type,SibSp,Parch,Fare,Deck,Survived
THREE,adult-male,less,0,'\'(-inf-15.65]\'',C,FALSE
ONE,female,less,0,'\'(15.65-inf)\'',,TRUE
THREE,female,less,0,'\'(-inf-15.65]\'',C,TRUE
ONE,female,less,0,'\'(15.65-inf)\'',,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',E,FALSE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,FALSE
THREE,child,less,1,'\'(-inf-15.65]\'',,FALSE
THREE,female,less,2,'\'(-inf-15.65]\'',,TRUE
TWO,child,less,0,'\'(-inf-15.65]\'',G,TRUE
THREE,child,less,1,'\'(-inf-15.65]\'',C,TRUE
ONE,female,less,0,'\'(15.65-inf)\'',,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,FALSE
THREE,adult-male,less,5,'\'(-inf-15.65]\'',,FALSE
THREE,child,less,0,'\'(-inf-15.65]\'',,FALSE
TWO,female,less,0,'\'(15.65-inf)\'',,TRUE
THREE,child,less,1,'\'(-inf-15.65]\'',,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,TRUE
THREE,female,less,0,'\'(15.65-inf)\'',,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,TRUE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',D,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,TRUE
THREE,child,less,0,'\'(-inf-15.65]\'',A,TRUE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,TRUE
THREE,child,more,1,'\'(-inf-15.65]\'',,FALSE
THREE,female,more,5,'\'(-inf-15.65]\'',,TRUE
THREE,adult-male,more,0,'\'(-inf-15.65]\'',C,FALSE
ONE,adult-male,more,2,'\'(15.65-inf)\'',,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,TRUE
THREE,adult-male,more,0,'\'(-inf-15.65]\'',,FALSE
ONE,adult-male,more,0,'\'(15.65-inf)\'',B,FALSE
ONE,female,less,0,'\'(15.65-inf)\'',,TRUE
THREE,female,more,0,'\'(-inf-15.65]\'',,TRUE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,FALSE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,FALSE
ONE,adult-male,more,0,'\'(15.65-inf)\'',,FALSE
THREE,adult-male,more,0,'\'(-inf-15.65]\'',,TRUE
THREE,adult-male,more,0,'\'(-inf-15.65]\'',,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,FALSE
THREE,child,less,0,'\'(-inf-15.65]\'',,TRUE
THREE,female,less,0,'\'(-inf-15.65]\'',,FALSE
TWO,female,less,0,'\'(-inf-15.65]\'',,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,FALSE
TWO,child,less,2,'\'(-inf-15.65]\'',,TRUE
THREE,female,less,0,'\'(-inf-15.65]\'',,TRUE
THREE,adult-male,more,0,'\'(-inf-15.65]\'',,FALSE
THREE,adult-male,more,0,'\'(-inf-15.65]\'',,FALSE
THREE,female,more,0,'\'(-inf-15.65]\'',,TRUE
THREE,adult-male,less,0,'\'(15.65-inf)\'',,FALSE
THREE,female,less,0,'\'(-inf-15.65]\'',,FALSE
THREE,child,less,1,'\'(-inf-15.65]\'',,FALSE
THREE,adult-male,more,0,'\'(-inf-15.65]\'',D,FALSE
ONE,female,less,0,'\'(15.65-inf)\'',,TRUE
TWO,female,more,0,'\'(15.65-inf)\'',B,TRUE
ONE,adult-male,less,1,'\'(15.65-inf)\'',C,FALSE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,TRUE
TWO,female,more,0,'\'(-inf-15.65]\'',,TRUE
THREE,adult-male,more,0,'\'(-inf-15.65]\'',,FALSE
TWO,child,less,2,'\'(-inf-15.65]\'',,TRUE
THREE,child,less,2,'\'(-inf-15.65]\'',,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',B,FALSE
ONE,female,less,0,'\'(15.65-inf)\'',C,TRUE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,FALSE
THREE,child,less,2,'\'(-inf-15.65]\'',,FALSE
ONE,adult-male,less,0,'\'(15.65-inf)\'',,FALSE
THREE,child,less,1,'\'(-inf-15.65]\'',F,TRUE
TWO,female,less,0,'\'(-inf-15.65]\'',,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,FALSE
THREE,female,more,2,'\'(-inf-15.65]\'',,TRUE
THREE,adult-male,more,0,'\'(-inf-15.65]\'',,FALSE
TWO,adult-male,more,0,'\'(-inf-15.65]\'',,FALSE
THREE,female,more,2,'\'(-inf-15.65]\'',,FALSE
TWO,adult-male,less,0,'\'(-inf-15.65]\'',,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',F,TRUE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,FALSE
THREE,adult-male,less,0,'\'(-inf-15.65]\'',,FALSE
