Pclass,Type,SibSp,Fare,Deck,Survived
THREE,adult-male,less,'\'(-inf-15.65]\'',C,FALSE
ONE,female,less,'\'(15.65-inf)\'',,TRUE
THREE,female,less,'\'(-inf-15.65]\'',C,TRUE
ONE,female,less,'\'(15.65-inf)\'',,TRUE
THREE,adult-male,less,'\'(-inf-15.65]\'',,FALSE
THREE,adult-male,less,'\'(-inf-15.65]\'',E,FALSE
ONE,adult-male,less,'\'(15.65-inf)\'',,FALSE
THREE,child,less,'\'(-inf-15.65]\'',,FALSE
THREE,female,less,'\'(-inf-15.65]\'',,TRUE
TWO,child,less,'\'(-inf-15.65]\'',G,TRUE
THREE,child,less,'\'(-inf-15.65]\'',C,TRUE
ONE,female,less,'\'(15.65-inf)\'',,TRUE
THREE,adult-male,less,'\'(-inf-15.65]\'',,FALSE
THREE,adult-male,less,'\'(-inf-15.65]\'',,FALSE
THREE,child,less,'\'(-inf-15.65]\'',,FALSE
TWO,female,less,'\'(15.65-inf)\'',,TRUE
THREE,child,less,'\'(-inf-15.65]\'',,FALSE
TWO,adult-male,less,'\'(-inf-15.65]\'',,TRUE
THREE,female,less,'\'(15.65-inf)\'',,FALSE
THREE,female,less,'\'(-inf-15.65]\'',,TRUE
TWO,adult-male,less,'\'(-inf-15.65]\'',D,FALSE
TWO,adult-male,less,'\'(-inf-15.65]\'',,TRUE
THREE,child,less,'\'(-inf-15.65]\'',A,TRUE
ONE,adult-male,less,'\'(15.65-inf)\'',,TRUE
THREE,child,more,'\'(-inf-15.65]\'',,FALSE
THREE,female,more,'\'(-inf-15.65]\'',,TRUE
THREE,adult-male,more,'\'(-inf-15.65]\'',C,FALSE
ONE,adult-male,more,'\'(15.65-inf)\'',,FALSE
THREE,female,less,'\'(-inf-15.65]\'',,TRUE
THREE,adult-male,more,'\'(-inf-15.65]\'',,FALSE
ONE,adult-male,more,'\'(15.65-inf)\'',B,FALSE
ONE,female,less,'\'(15.65-inf)\'',,TRUE
THREE,female,more,'\'(-inf-15.65]\'',,TRUE
TWO,adult-male,less,'\'(-inf-15.65]\'',,FALSE
ONE,adult-male,less,'\'(15.65-inf)\'',,FALSE
ONE,adult-male,more,'\'(15.65-inf)\'',,FALSE
THREE,adult-male,more,'\'(-inf-15.65]\'',,TRUE
THREE,adult-male,more,'\'(-inf-15.65]\'',,FALSE
THREE,female,less,'\'(-inf-15.65]\'',,FALSE
THREE,child,less,'\'(-inf-15.65]\'',,TRUE
THREE,female,less,'\'(-inf-15.65]\'',,FALSE
TWO,female,less,'\'(-inf-15.65]\'',,FALSE
THREE,adult-male,less,'\'(-inf-15.65]\'',,FALSE
TWO,child,less,'\'(-inf-15.65]\'',,TRUE
THREE,female,less,'\'(-inf-15.65]\'',,TRUE
THREE,adult-male,more,'\'(-inf-15.65]\'',,FALSE
THREE,adult-male,more,'\'(-inf-15.65]\'',,FALSE
THREE,female,more,'\'(-inf-15.65]\'',,TRUE
THREE,adult-male,less,'\'(15.65-inf)\'',,FALSE
THREE,female,less,'\'(-inf-15.65]\'',,FALSE
THREE,child,less,'\'(-inf-15.65]\'',,FALSE
THREE,adult-male,more,'\'(-inf-15.65]\'',D,FALSE
ONE,female,less,'\'(15.65-inf)\'',,TRUE
TWO,female,more,'\'(15.65-inf)\'',B,TRUE
ONE,adult-male,less,'\'(15.65-inf)\'',C,FALSE
ONE,adult-male,less,'\'(15.65-inf)\'',,TRUE
TWO,female,more,'\'(-inf-15.65]\'',,TRUE
THREE,adult-male,more,'\'(-inf-15.65]\'',,FALSE
TWO,child,less,'\'(-inf-15.65]\'',,TRUE
