@relation 1.fbp-weka.filters.supervised.attribute.Discretize-R6

@attribute Pclass {THREE,ONE,TWO}
@attribute Sex {male,female}
@attribute Age numeric
@attribute SibSp numeric
@attribute Parch numeric
@attribute Fare {'\'(-inf-15.65]\'','\'(15.65-inf)\''}
@attribute Embarked {S,C,Q}
@attribute Survived {FALSE,TRUE}

@data
THREE,male,22,1,0,'\'(-inf-15.65]\'',S,FALSE
ONE,female,38,1,0,'\'(15.65-inf)\'',C,TRUE
THREE,female,26,0,0,'\'(-inf-15.65]\'',S,TRUE
ONE,female,35,1,0,'\'(15.65-inf)\'',S,TRUE
THREE,male,35,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,?,0,0,'\'(-inf-15.65]\'',Q,FALSE
ONE,male,54,0,0,'\'(15.65-inf)\'',S,FALSE
THREE,male,2,3,1,'\'(-inf-15.65]\'',S,FALSE
THREE,female,27,0,2,'\'(-inf-15.65]\'',S,TRUE
TWO,female,14,1,0,'\'(-inf-15.65]\'',C,TRUE
THREE,female,4,1,1,'\'(-inf-15.65]\'',S,TRUE
ONE,female,58,0,0,'\'(15.65-inf)\'',S,TRUE
THREE,male,20,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,39,1,5,'\'(-inf-15.65]\'',S,FALSE
THREE,female,14,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,female,55,0,0,'\'(15.65-inf)\'',S,TRUE
THREE,male,2,4,1,'\'(-inf-15.65]\'',Q,FALSE
TWO,male,?,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,female,31,1,0,'\'(15.65-inf)\'',S,FALSE
THREE,female,?,0,0,'\'(-inf-15.65]\'',C,TRUE
TWO,male,35,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,male,34,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,female,15,0,0,'\'(-inf-15.65]\'',Q,TRUE
ONE,male,28,0,0,'\'(15.65-inf)\'',S,TRUE
THREE,female,8,3,1,'\'(-inf-15.65]\'',S,FALSE
THREE,female,38,1,5,'\'(-inf-15.65]\'',S,TRUE
THREE,male,?,0,0,'\'(-inf-15.65]\'',C,FALSE
ONE,male,19,3,2,'\'(15.65-inf)\'',S,FALSE
THREE,female,?,0,0,'\'(-inf-15.65]\'',Q,TRUE
THREE,male,?,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,male,40,0,0,'\'(15.65-inf)\'',C,FALSE
ONE,female,?,1,0,'\'(15.65-inf)\'',C,TRUE
THREE,female,?,0,0,'\'(-inf-15.65]\'',Q,TRUE
TWO,male,66,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,male,28,1,0,'\'(15.65-inf)\'',C,FALSE
ONE,male,42,1,0,'\'(15.65-inf)\'',S,FALSE
THREE,male,?,0,0,'\'(-inf-15.65]\'',C,TRUE
THREE,male,21,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,female,18,2,0,'\'(-inf-15.65]\'',S,FALSE
THREE,female,14,1,0,'\'(-inf-15.65]\'',C,TRUE
THREE,female,40,1,0,'\'(-inf-15.65]\'',S,FALSE
TWO,female,27,1,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,?,0,0,'\'(-inf-15.65]\'',C,FALSE
TWO,female,3,1,2,'\'(-inf-15.65]\'',C,TRUE
THREE,female,19,0,0,'\'(-inf-15.65]\'',Q,TRUE
THREE,male,?,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,?,1,0,'\'(-inf-15.65]\'',Q,FALSE
THREE,female,?,0,0,'\'(-inf-15.65]\'',Q,TRUE
THREE,male,?,2,0,'\'(15.65-inf)\'',C,FALSE
THREE,female,18,1,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,7,4,1,'\'(-inf-15.65]\'',S,FALSE
THREE,male,21,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,female,49,1,0,'\'(15.65-inf)\'',C,TRUE
TWO,female,29,1,0,'\'(15.65-inf)\'',S,TRUE
ONE,male,65,0,1,'\'(15.65-inf)\'',C,FALSE
ONE,male,?,0,0,'\'(15.65-inf)\'',S,TRUE
TWO,female,21,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,male,28.5,0,0,'\'(-inf-15.65]\'',C,FALSE
TWO,female,5,1,2,'\'(-inf-15.65]\'',S,TRUE
THREE,male,11,5,2,'\'(-inf-15.65]\'',S,FALSE
THREE,male,22,0,0,'\'(-inf-15.65]\'',C,FALSE
ONE,female,38,0,0,'\'(15.65-inf)\'',?,TRUE
