@relation 5.0-type-fbp-sibsp-parch-deck-weka.filters.supervised.attribute.Discretize-R5

@attribute Pclass {THREE,ONE,TWO}
@attribute Type {adult-male,female,child,newborn}
@attribute SibSp {less,more}
@attribute Parch {less,more}
@attribute Fare {'\'(-inf-15.65]\'','\'(15.65-inf)\''}
@attribute Deck {C,E,G,D,A,B,F,T}
@attribute Embarked {S,C,Q}
@attribute Survived {FALSE,TRUE}

@data
THREE,adult-male,less,less,'\'(-inf-15.65]\'',C,S,FALSE
ONE,female,less,less,'\'(15.65-inf)\'',?,C,TRUE
THREE,female,less,less,'\'(-inf-15.65]\'',C,S,TRUE
ONE,female,less,less,'\'(15.65-inf)\'',?,S,TRUE
THREE,adult-male,less,less,'\'(-inf-15.65]\'',?,S,FALSE
THREE,adult-male,less,less,'\'(-inf-15.65]\'',E,Q,FALSE
ONE,adult-male,less,less,'\'(15.65-inf)\'',?,S,FALSE
THREE,child,less,less,'\'(-inf-15.65]\'',?,S,FALSE
THREE,female,less,less,'\'(-inf-15.65]\'',?,S,TRUE
TWO,child,less,less,'\'(-inf-15.65]\'',G,C,TRUE
THREE,child,less,less,'\'(-inf-15.65]\'',C,S,TRUE
ONE,female,less,less,'\'(15.65-inf)\'',?,S,TRUE
THREE,adult-male,less,less,'\'(-inf-15.65]\'',?,S,FALSE
THREE,adult-male,less,less,'\'(-inf-15.65]\'',?,S,FALSE
THREE,child,less,less,'\'(-inf-15.65]\'',?,S,FALSE
TWO,female,less,less,'\'(15.65-inf)\'',?,S,TRUE
THREE,child,less,less,'\'(-inf-15.65]\'',?,Q,FALSE
TWO,adult-male,less,less,'\'(-inf-15.65]\'',?,S,TRUE
THREE,female,less,less,'\'(15.65-inf)\'',?,S,FALSE
THREE,female,less,less,'\'(-inf-15.65]\'',?,C,TRUE
TWO,adult-male,less,less,'\'(-inf-15.65]\'',D,S,FALSE
TWO,adult-male,less,less,'\'(-inf-15.65]\'',?,S,TRUE
THREE,child,less,more,'\'(-inf-15.65]\'',A,Q,TRUE
ONE,adult-male,less,less,'\'(15.65-inf)\'',?,S,TRUE
THREE,child,more,less,'\'(-inf-15.65]\'',?,S,FALSE
