@relation 5.2-type-fbp-sibsp-parch-deck-noembarked-weka.filters.supervised.attribute.Discretize-R5

@attribute Pclass {THREE,ONE,TWO}
@attribute Type {adult-male,female,child,newborn}
@attribute SibSp {less,more}
@attribute Parch {less,more}
@attribute Fare {'\'(-inf-15.65]\'','\'(15.65-inf)\''}
@attribute Deck {C,E,G,D,A,B,F,T}
@attribute Survived {FALSE,TRUE}

@data
THREE,adult-male,less,less,'\'(-inf-15.65]\'',C,FALSE
ONE,female,less,less,'\'(15.65-inf)\'',?,TRUE
THREE,female,less,less,'\'(-inf-15.65]\'',C,TRUE
ONE,female,less,less,'\'(15.65-inf)\'',?,TRUE
THREE,adult-male,less,less,'\'(-inf-15.65]\'',?,FALSE
THREE,adult-male,less,less,'\'(-inf-15.65]\'',E,FALSE
ONE,adult-male,less,less,'\'(15.65-inf)\'',?,FALSE
THREE,child,less,less,'\'(-inf-15.65]\'',?,FALSE
THREE,female,less,less,'\'(-inf-15.65]\'',?,TRUE
TWO,child,less,less,'\'(-inf-15.65]\'',G,TRUE
THREE,child,less,less,'\'(-inf-15.65]\'',C,TRUE
ONE,female,less,less,'\'(15.65-inf)\'',?,TRUE
THREE,adult-male,less,less,'\'(-inf-15.65]\'',?,FALSE
THREE,adult-male,less,less,'\'(-inf-15.65]\'',?,FALSE
THREE,child,less,less,'\'(-inf-15.65]\'',?,FALSE
TWO,female,less,less,'\'(15.65-inf)\'',?,TRUE
THREE,child,less,less,'\'(-inf-15.65]\'',?,FALSE
TWO,adult-male,less,less,'\'(-inf-15.65]\'',?,TRUE
THREE,female,less,less,'\'(15.65-inf)\'',?,FALSE
THREE,female,less,less,'\'(-inf-15.65]\'',?,TRUE
TWO,adult-male,less,less,'\'(-inf-15.65]\'',D,FALSE
TWO,adult-male,less,less,'\'(-inf-15.65]\'',?,TRUE
THREE,child,less,more,'\'(-inf-15.65]\'',A,TRUE
ONE,adult-male,less,less,'\'(15.65-inf)\'',?,TRUE
THREE,child,more,less,'\'(-inf-15.65]\'',?,FALSE
THREE,female,more,less,'\'(-inf-15.65]\'',?,TRUE
THREE,adult-male,more,less,'\'(-inf-15.65]\'',C,FALSE
ONE,adult-male,more,less,'\'(15.65-inf)\'',?,FALSE
THREE,female,less,more,'\'(-inf-15.65]\'',?,TRUE
THREE,adult-male,more,less,'\'(-inf-15.65]\'',?,FALSE
ONE,adult-male,more,less,'\'(15.65-inf)\'',B,FALSE
ONE,female,less,less,'\'(15.65-inf)\'',?,TRUE
THREE,female,more,less,'\'(-inf-15.65]\'',?,TRUE
TWO,adult-male,less,more,'\'(-inf-15.65]\'',?,FALSE
ONE,adult-male,less,more,'\'(15.65-inf)\'',?,FALSE
ONE,adult-male,more,less,'\'(15.65-inf)\'',?,FALSE
THREE,adult-male,more,less,'\'(-inf-15.65]\'',?,TRUE
THREE,adult-male,more,less,'\'(-inf-15.65]\'',?,FALSE
THREE,female,less,less,'\'(-inf-15.65]\'',?,FALSE
THREE,child,less,less,'\'(-inf-15.65]\'',?,TRUE
THREE,female,less,less,'\'(-inf-15.65]\'',?,FALSE
TWO,female,less,less,'\'(-inf-15.65]\'',?,FALSE
THREE,adult-male,less,less,'\'(-inf-15.65]\'',?,FALSE
TWO,child,less,less,'\'(-inf-15.65]\'',?,TRUE
THREE,female,less,less,'\'(-inf-15.65]\'',?,TRUE
THREE,adult-male,more,less,'\'(-inf-15.65]\'',?,FALSE
THREE,adult-male,more,less,'\'(-inf-15.65]\'',?,FALSE
THREE,female,more,less,'\'(-inf-15.65]\'',?,TRUE
THREE,adult-male,less,more,'\'(15.65-inf)\'',?,FALSE
THREE,female,less,less,'\'(-inf-15.65]\'',?,FALSE
THREE,child,less,less,'\'(-inf-15.65]\'',?,FALSE
THREE,adult-male,more,less,'\'(-inf-15.65]\'',D,FALSE
ONE,female,less,less,'\'(15.65-inf)\'',?,TRUE
TWO,female,more,less,'\'(15.65-inf)\'',B,TRUE
ONE,adult-male,less,less,'\'(15.65-inf)\'',C,FALSE
ONE,adult-male,less,less,'\'(15.65-inf)\'',?,TRUE
TWO,female,more,less,'\'(-inf-15.65]\'',?,TRUE
THREE,adult-male,more,less,'\'(-inf-15.65]\'',?,FALSE
