Tester:     weka.experiment.PairedCorrectedTTester
Analysing:  Percent_correct
Datasets:   65
Resultsets: 25
Confidence: 0.05 (two tailed)
Sorted by:  -
Date:       11/23/14 2:26 AM


Dataset,[1],[2],'',[3],'',[4],'',[5],'',[6],'',[7],'',[8],'',[9],'',[10],'',[11],'',[12],'',[13],'',[14],'',[15],'',[16],'',[17],'',[18],'',[19],'',[20],'',[21],'',[22],'',[23],'',[24],'',[25],''
1.fbp,82.09,80.16,' ',78.68,*,80.42,' ',81.00,' ',81.03,' ',81.26,' ',80.96,' ',78.13,*,81.30,' ',80.98,' ',78.68,*,78.68,*,76.96,*,73.66,*,78.68,*,75.91,*,78.14,*,78.07,*,78.14,*,74.56,*,75.14,*,75.14,*,75.14,*,80.68,' '
2.0-type-fbp,81.21,81.57,' ',78.90,*,81.89,' ',82.19,' ',82.29,' ',82.26,' ',80.65,' ',79.38,' ',82.22,' ',81.50,' ',81.90,' ',82.06,' ',82.04,' ',81.00,' ',81.38,' ',76.27,*,78.25,*,78.31,*,78.25,*,76.70,*,79.36,' ',79.36,' ',79.36,' ',80.57,' '
2.1-type-fbp-nosibsp-nopa,79.46,81.92,v,78.90,' ',78.83,' ',78.32,' ',78.32,' ',79.51,' ',81.66,' ',81.76,' ',80.58,' ',81.65,v,78.90,' ',78.90,' ',78.90,' ',78.80,' ',78.77,' ',75.93,*,77.81,' ',77.71,' ',77.81,' ',77.47,' ',81.56,' ',81.56,' ',81.56,' ',80.30,' '
2.10-type-nofbp-noparch,82.84,82.15,' ',78.90,*,82.22,' ',82.73,' ',82.73,' ',82.45,' ',81.94,' ',81.85,' ',82.27,' ',82.50,' ',81.64,' ',82.18,' ',82.20,' ',82.47,' ',81.30,' ',79.84,*,80.25,*,79.89,*,80.25,*,75.63,*,81.93,' ',81.93,' ',81.93,' ',82.68,' '
2.11-type-nofbp-noembarke,81.74,82.32,' ',78.90,*,82.03,' ',82.92,' ',82.92,' ',81.46,' ',82.17,' ',82.39,' ',81.55,' ',82.60,' ',81.17,' ',82.16,' ',82.19,' ',82.15,' ',80.56,' ',80.12,' ',80.55,' ',80.15,' ',80.55,' ',74.94,*,82.39,' ',82.39,' ',82.39,' ',80.28,' '
2.2-type-fbp-noembarked,80.99,82.02,' ',78.90,*,82.61,' ',82.47,' ',82.57,' ',81.97,' ',80.93,' ',80.27,' ',82.44,' ',81.75,' ',81.29,' ',82.09,' ',82.02,' ',81.31,' ',80.97,' ',75.70,*,77.70,*,77.52,*,77.70,*,76.44,*,79.20,' ',79.20,' ',79.20,' ',81.22,' '
2.3-type-fbp-nosibsp-nopa,81.67,83.10,' ',78.90,*,82.07,' ',81.55,' ',81.55,' ',81.71,' ',81.52,' ',81.28,' ',81.12,' ',82.84,' ',78.90,*,78.79,*,78.90,*,78.83,*,79.52,*,76.59,*,77.12,*,77.09,*,77.12,*,76.73,*,80.90,' ',80.90,' ',80.90,' ',80.70,' '
2.4-type-nofbp,82.71,81.97,' ',78.90,*,82.53,' ',82.82,' ',82.82,' ',82.47,' ',81.48,' ',81.18,' ',82.36,' ',82.21,' ',81.88,' ',82.19,' ',82.22,' ',83.07,' ',81.47,' ',79.63,*,80.26,*,79.81,*,80.26,*,75.39,*,81.02,' ',81.02,' ',81.02,' ',82.67,' '
2.5-type-nofbp-noembarked,81.89,82.15,' ',78.90,*,82.90,' ',82.43,' ',82.43,' ',81.22,' ',80.84,' ',80.93,' ',81.65,' ',82.09,' ',81.15,' ',82.19,' ',82.17,' ',82.92,' ',80.85,' ',79.79,*,80.61,' ',80.57,' ',80.61,' ',74.67,*,80.93,' ',80.93,' ',80.93,' ',79.87,*
2.6-type-nofbp-nosibsp-no,82.27,82.19,' ',78.90,*,82.14,' ',82.18,' ',82.18,' ',81.61,' ',82.25,' ',82.18,' ',81.41,' ',82.14,' ',78.90,*,78.79,*,78.90,*,80.20,*,80.20,*,79.85,*,79.82,*,79.82,*,79.82,*,74.24,*,82.18,' ',82.18,' ',82.18,' ',82.30,' '
