Tester:     weka.experiment.PairedCorrectedTTester
Analysing:  Percent_correct
Datasets:   65
Resultsets: 8
Confidence: 0.05 (two tailed)
Sorted by:  -
Date:       11/23/14 3:24 AM


Dataset,[1],[2],'',[3],'',[4],'',[5],'',[6],'',[7],'',[8],''
1.fbp,75.14,77.32,' ',78.43,v,78.95,v,78.34,v,78.65,v,78.77,v,78.35,v
2.0-type-fbp,79.36,78.90,' ',81.21,v,82.04,v,82.39,v,82.55,v,82.77,v,82.58,v
2.1-type-fbp-nosibsp-nopa,81.56,81.37,' ',81.46,' ',81.81,' ',81.31,' ',81.11,' ',81.07,' ',81.42,' '
2.10-type-nofbp-noparch,81.93,82.08,' ',82.08,' ',82.07,' ',82.06,' ',82.06,' ',82.38,' ',82.38,' '
2.11-type-nofbp-noembarke,82.39,82.58,' ',82.34,' ',82.34,' ',82.34,' ',82.36,' ',82.36,' ',82.36,' '
2.2-type-fbp-noembarked,79.20,79.68,' ',82.35,v,83.01,v,82.41,v,83.00,v,82.86,v,83.37,v
2.3-type-fbp-nosibsp-nopa,80.90,81.10,' ',81.84,' ',82.02,' ',82.00,' ',81.98,' ',81.59,' ',81.33,' '
2.4-type-nofbp,81.02,81.56,' ',82.27,v,82.62,v,82.81,v,82.91,v,83.11,v,82.81,v
2.5-type-nofbp-noembarked,80.93,81.65,v,81.92,v,82.08,v,82.15,v,82.17,v,82.13,v,82.21,v
2.6-type-nofbp-nosibsp-no,82.18,82.09,' ',81.50,*,81.50,*,81.50,*,81.50,*,81.50,*,81.50,*
2.7-type-nofbp-nosibsp-no,79.38,79.29,' ',78.71,*,78.71,*,78.71,*,78.71,*,78.71,*,78.71,*
2.8-type-fbp-noparch,80.38,79.95,' ',80.78,' ',80.62,' ',81.07,' ',81.22,' ',81.25,' ',81.85,' '
2.9-type-fbp-noembarked-n,81.25,80.37,' ',81.01,' ',80.92,' ',80.68,' ',81.12,' ',80.85,' ',81.71,' '
3.0-type-fbp-company,79.39,79.39,' ',80.45,' ',80.88,' ',80.79,' ',80.94,' ',80.81,' ',81.29,' '
3.1-type-company-nofbp,81.38,81.48,' ',81.76,' ',81.76,' ',81.75,' ',81.73,' ',81.82,' ',81.64,' '
3.2-type-fbp-company-noem,79.69,80.47,' ',81.59,' ',81.27,' ',80.84,' ',81.03,' ',80.94,' ',81.05,' '
3.3-type-company-nofbp-no,81.80,81.80,' ',81.46,' ',81.44,' ',81.44,' ',81.26,' ',81.26,' ',81.26,' '
4.0-type-fbp-sibsp,79.65,79.87,' ',81.61,v,82.00,v,82.60,v,82.13,v,82.71,v,82.48,v
4.1-type-sibsp-parch-nofb,82.45,82.65,' ',82.54,' ',82.64,' ',82.80,' ',82.81,' ',82.81,' ',82.77,' '
4.2-type-fbp-sibsp-noemba,80.57,80.80,' ',81.77,' ',82.13,' ',82.71,v,83.24,v,83.47,v,83.85,v
4.3-type-sibsp-parch-nofb,82.40,82.52,' ',82.56,' ',82.72,' ',82.83,' ',82.83,' ',82.88,' ',82.94,' '
4.4-type-fbp-sibsp-noparc,80.25,80.20,' ',81.90,v,81.93,' ',82.50,v,82.13,v,81.84,' ',81.83,' '
4.5-type-sibsp-nofbp-nopa,82.96,82.87,' ',82.29,*,82.29,*,82.29,*,82.29,*,82.29,*,82.29,*
4.6-type-fbp-sibsp-noemba,80.91,80.76,' ',81.48,' ',82.11,' ',82.11,' ',82.52,' ',82.79,' ',82.95,' '
4.7-type-sibsp-nofbp-noem,81.09,81.00,' ',80.42,*,80.42,*,80.42,*,80.42,*,80.42,*,80.42,*
5.0-type-fbp-sibsp-deck,78.65,79.47,' ',80.59,' ',80.97,' ',81.04,' ',80.85,' ',81.73,v,81.65,v
5.1-type-sibsp-deck-nofbp,80.93,81.56,' ',81.62,' ',81.63,' ',81.45,' ',81.32,' ',81.20,' ',81.17,' '
5.2-type-fbp-sibsp-deck-n,80.30,81.69,' ',82.05,' ',82.29,' ',81.58,' ',82.12,' ',82.09,' ',82.11,' '
5.3-type-sibsp-deck-noemb,80.30,80.26,' ',79.99,' ',79.88,' ',79.80,' ',79.71,' ',79.36,' ',79.43,' '
5.4-type-fbp-sibsp-deck-n,79.16,79.91,' ',80.66,' ',81.46,v,81.54,v,81.19,' ',80.55,' ',80.10,' '
5.5-type-sibsp-deck-nofbp,81.52,81.91,' ',81.54,' ',81.50,' ',81.50,' ',81.50,' ',81.50,' ',81.50,' '
5.6-type-fbp-sibsp-deck-n,80.30,81.69,' ',82.05,' ',82.29,' ',81.58,' ',82.12,' ',82.09,' ',82.11,' '
5.7-type-sibsp-deck-noemb,80.75,81.07,' ',80.97,' ',80.90,' ',80.84,' ',80.75,' ',80.45,' ',80.17,' '
2.4-type2,81.10,81.15,' ',81.61,' ',82.30,' ',82.46,' ',82.55,v,82.79,v,82.47,' '
2.5-type2-noembarked,80.79,81.09,' ',81.36,' ',81.60,' ',81.91,' ',82.00,' ',81.98,' ',82.02,' '
2.6-type2-nosibsp-noparch,82.07,81.98,' ',81.39,*,81.39,*,81.39,*,81.39,*,81.39,*,81.40,*
2.7-type2-nosibsp-noparch,79.27,79.18,' ',78.60,*,78.60,*,78.60,*,78.60,*,78.60,*,78.60,*
2.8-type2-noparch,81.62,81.73,' ',81.50,' ',81.48,' ',81.47,' ',81.56,' ',82.05,' ',82.03,' '
3.1-type2-company,81.16,81.26,' ',81.43,' ',81.43,' ',81.42,' ',81.39,' ',81.46,' ',81.39,' '
3.3-type2-company-noembar,81.74,81.74,' ',81.40,' ',81.38,' ',81.38,' ',81.20,' ',81.20,' ',81.20,' '
4.1-type2-sibsp,82.57,82.52,' ',82.53,' ',82.69,' ',82.63,' ',82.62,' ',82.64,' ',82.67,' '
