Tester:     weka.experiment.PairedCorrectedTTester
Analysing:  Weighted_avg_false_positive_rate
Datasets:   65
Resultsets: 25
Confidence: 0.05 (two tailed)
Sorted by:  -
Date:       11/23/14 2:26 AM


Dataset,[1],[2],'',[3],'',[4],'',[5],'',[6],'',[7],'',[8],'',[9],'',[10],'',[11],'',[12],'',[13],'',[14],'',[15],'',[16],'',[17],'',[18],'',[19],'',[20],'',[21],'',[22],'',[23],'',[24],'',[25],''
1.fbp,0.25,0.25,' ',0.25,' ',0.25,' ',0.25,' ',0.25,' ',0.25,' ',0.23,' ',0.25,' ',0.24,' ',0.24,' ',0.25,' ',0.25,' ',0.26,' ',0.32,v,0.25,' ',0.28,' ',0.27,' ',0.25,' ',0.27,' ',0.29,v,0.29,v,0.29,v,0.29,v,0.24,' '
2.0-type-fbp,0.23,0.23,' ',0.23,' ',0.23,' ',0.24,' ',0.24,' ',0.24,' ',0.23,' ',0.25,' ',0.23,' ',0.23,' ',0.21,' ',0.21,' ',0.21,' ',0.21,' ',0.22,' ',0.28,v,0.26,' ',0.24,' ',0.26,' ',0.26,' ',0.25,' ',0.25,' ',0.25,' ',0.26,v
2.1-type-fbp-nosibsp-nopa,0.26,0.23,' ',0.23,' ',0.28,' ',0.29,' ',0.29,' ',0.29,v,0.22,*,0.22,' ',0.26,' ',0.23,' ',0.23,' ',0.23,' ',0.23,' ',0.24,' ',0.28,' ',0.26,' ',0.30,v,0.31,v,0.30,v,0.25,' ',0.23,' ',0.23,' ',0.23,' ',0.28,' '
2.10-type-nofbp-noparch,0.23,0.24,' ',0.23,' ',0.23,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.25,' ',0.24,' ',0.24,' ',0.21,' ',0.21,*,0.21,*,0.21,*,0.23,' ',0.22,' ',0.22,' ',0.23,' ',0.22,' ',0.27,v,0.24,' ',0.24,' ',0.24,' ',0.24,' '
2.11-type-nofbp-noembarke,0.23,0.22,' ',0.23,' ',0.22,' ',0.22,' ',0.22,' ',0.23,' ',0.23,' ',0.23,' ',0.23,' ',0.22,' ',0.22,' ',0.21,' ',0.21,' ',0.21,' ',0.24,' ',0.25,' ',0.25,' ',0.25,' ',0.25,' ',0.28,v,0.23,' ',0.23,' ',0.23,' ',0.29,v
2.2-type-fbp-noembarked,0.23,0.22,' ',0.23,' ',0.22,' ',0.23,' ',0.23,' ',0.24,' ',0.23,' ',0.24,' ',0.23,' ',0.23,' ',0.22,' ',0.21,' ',0.21,' ',0.21,' ',0.23,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.25,' ',0.25,' ',0.25,' ',0.25,' '
2.3-type-fbp-nosibsp-nopa,0.25,0.22,*,0.23,' ',0.26,' ',0.25,' ',0.25,' ',0.26,' ',0.22,' ',0.23,' ',0.25,' ',0.22,*,0.23,' ',0.23,' ',0.23,' ',0.25,' ',0.24,' ',0.28,' ',0.31,v,0.31,v,0.31,v,0.26,' ',0.23,' ',0.23,' ',0.23,' ',0.28,v
2.4-type-nofbp,0.24,0.24,' ',0.23,' ',0.23,' ',0.24,' ',0.24,' ',0.24,' ',0.25,' ',0.26,' ',0.24,' ',0.24,' ',0.21,' ',0.21,' ',0.21,' ',0.21,*,0.22,' ',0.23,' ',0.22,' ',0.23,' ',0.22,' ',0.27,v,0.26,v,0.26,v,0.26,v,0.24,' '
2.5-type-nofbp-noembarked,0.22,0.22,' ',0.23,' ',0.21,' ',0.23,' ',0.23,' ',0.23,' ',0.24,' ',0.25,v,0.23,' ',0.22,' ',0.22,' ',0.21,' ',0.21,' ',0.21,' ',0.24,' ',0.25,' ',0.25,' ',0.24,' ',0.25,' ',0.28,v,0.25,v,0.25,v,0.25,v,0.28,v
2.6-type-nofbp-nosibsp-no,0.25,0.26,' ',0.23,' ',0.25,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.25,' ',0.23,' ',0.23,' ',0.23,' ',0.25,' ',0.25,' ',0.22,*,0.22,*,0.22,*,0.22,*,0.29,' ',0.26,' ',0.26,' ',0.26,' ',0.25,' '
2.7-type-nofbp-nosibsp-no,0.29,0.30,' ',0.23,*,0.27,' ',0.29,' ',0.29,' ',0.25,*,0.29,' ',0.30,' ',0.26,*,0.30,' ',0.23,*,0.23,*,0.23,*,0.29,' ',0.29,' ',0.25,*,0.25,*,0.25,*,0.25,*,0.29,' ',0.30,' ',0.30,' ',0.30,' ',0.31,v
2.8-type-fbp-noparch,0.23,0.23,' ',0.23,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.23,' ',0.24,' ',0.23,' ',0.23,' ',0.21,' ',0.21,' ',0.21,' ',0.21,' ',0.23,' ',0.28,v,0.26,' ',0.24,' ',0.26,' ',0.25,' ',0.24,' ',0.24,' ',0.24,' ',0.26,v
2.9-type-fbp-noembarked-n,0.23,0.23,' ',0.23,' ',0.22,' ',0.23,' ',0.23,' ',0.23,' ',0.22,' ',0.23,' ',0.23,' ',0.23,' ',0.22,' ',0.21,' ',0.21,' ',0.21,' ',0.24,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.25,' ',0.23,' ',0.23,' ',0.23,' ',0.26,' '
3.0-type-fbp-company,0.25,0.23,' ',0.23,' ',0.27,' ',0.26,' ',0.26,' ',0.26,' ',0.24,' ',0.24,' ',0.25,' ',0.23,' ',0.23,' ',0.23,' ',0.23,' ',0.25,' ',0.24,' ',0.26,' ',0.28,' ',0.28,' ',0.28,' ',0.27,' ',0.25,' ',0.25,' ',0.25,' ',0.27,' '
3.1-type-company-nofbp,0.25,0.26,' ',0.23,*,0.26,' ',0.26,' ',0.26,' ',0.25,' ',0.26,' ',0.26,' ',0.26,' ',0.25,' ',0.23,*,0.23,*,0.23,*,0.25,' ',0.25,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.29,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' '
3.2-type-fbp-company-noem,0.26,0.23,' ',0.23,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.23,' ',0.24,' ',0.26,' ',0.23,' ',0.23,' ',0.23,' ',0.23,' ',0.25,' ',0.27,' ',0.28,' ',0.29,' ',0.29,' ',0.29,' ',0.26,' ',0.25,' ',0.25,' ',0.25,' ',0.27,' '
3.3-type-company-nofbp-no,0.26,0.26,' ',0.23,*,0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.23,*,0.23,*,0.23,*,0.27,' ',0.27,' ',0.25,' ',0.25,' ',0.25,' ',0.25,' ',0.29,' ',0.26,' ',0.26,' ',0.26,' ',0.31,v
4.0-type-fbp-sibsp,0.23,0.23,' ',0.23,' ',0.23,' ',0.24,' ',0.24,' ',0.24,' ',0.23,' ',0.24,' ',0.23,' ',0.23,' ',0.22,' ',0.22,' ',0.22,' ',0.21,' ',0.22,' ',0.27,v,0.30,v,0.30,v,0.30,v,0.26,' ',0.25,' ',0.25,' ',0.25,' ',0.26,v
